timestamp,event_type,severity
628.30,near_miss,N/A
628.40,near_miss,N/A
684.30,near_miss,N/A
684.40,near_miss,N/A
684.50,near_miss,N/A
684.60,near_miss,N/A
684.70,near_miss,N/A
684.80,near_miss,N/A
684.90,near_miss,N/A
685.00,near_miss,N/A
685.10,near_miss,N/A
685.20,near_miss,N/A
685.30,near_miss,N/A
685.40,near_miss,N/A
685.50,near_miss,N/A
685.60,near_miss,N/A
685.70,near_miss,N/A
685.80,near_miss,N/A
685.90,near_miss,N/A
686.00,near_miss,N/A
686.10,near_miss,N/A
686.20,near_miss,N/A
686.30,near_miss,N/A
686.40,near_miss,N/A
686.50,near_miss,N/A
686.60,near_miss,N/A
686.70,near_miss,N/A
686.80,near_miss,N/A
686.90,near_miss,N/A
687.00,near_miss,N/A
687.10,near_miss,N/A
687.20,near_miss,N/A
687.30,near_miss,N/A
687.40,near_miss,N/A
687.50,near_miss,N/A
687.60,near_miss,N/A
687.70,near_miss,N/A
687.80,near_miss,N/A
687.90,near_miss,N/A
688.00,near_miss,N/A
688.10,near_miss,N/A
688.20,near_miss,N/A
688.30,near_miss,N/A
688.40,near_miss,N/A
699.90,near_miss,N/A
700.00,near_miss,N/A
700.10,near_miss,N/A
700.20,near_miss,N/A
700.30,near_miss,N/A
700.40,near_miss,N/A
700.50,near_miss,N/A
700.60,near_miss,N/A
700.70,near_miss,N/A
700.80,near_miss,N/A
700.90,near_miss,N/A
701.00,near_miss,N/A
701.10,near_miss,N/A
701.20,near_miss,N/A
701.30,near_miss,N/A
701.40,near_miss,N/A
701.50,near_miss,N/A
701.60,near_miss,N/A
701.70,near_miss,N/A
701.80,near_miss,N/A
701.90,near_miss,N/A
751.10,near_miss,N/A
751.20,near_miss,N/A
751.30,near_miss,N/A
751.40,near_miss,N/A
751.50,near_miss,N/A
751.60,near_miss,N/A
751.70,near_miss,N/A
751.80,near_miss,N/A
751.90,near_miss,N/A
752.00,near_miss,N/A
752.10,near_miss,N/A
752.20,near_miss,N/A
752.30,near_miss,N/A
752.40,near_miss,N/A
752.50,near_miss,N/A
752.60,near_miss,N/A
752.70,near_miss,N/A
752.80,near_miss,N/A
752.90,near_miss,N/A
753.00,near_miss,N/A
753.10,near_miss,N/A
753.20,near_miss,N/A
753.30,near_miss,N/A
753.40,near_miss,N/A
753.50,near_miss,N/A
753.60,near_miss,N/A
753.70,near_miss,N/A
753.80,near_miss,N/A
753.90,near_miss,N/A
754.00,near_miss,N/A
754.10,near_miss,N/A
754.20,near_miss,N/A
754.30,near_miss,N/A
754.40,near_miss,N/A
754.50,near_miss,N/A
754.60,near_miss,N/A
754.70,near_miss,N/A
776.40,near_miss,N/A
776.50,near_miss,N/A
776.60,near_miss,N/A
776.70,near_miss,N/A
776.80,near_miss,N/A
776.90,near_miss,N/A
777.00,near_miss,N/A
777.10,near_miss,N/A
777.20,near_miss,N/A
777.30,near_miss,N/A
777.40,near_miss,N/A
777.50,near_miss,N/A
777.60,near_miss,N/A
777.70,near_miss,N/A
777.80,near_miss,N/A
777.90,near_miss,N/A
778.00,near_miss,N/A
778.10,near_miss,N/A
778.20,near_miss,N/A
778.30,near_miss,N/A
778.40,near_miss,N/A
800.60,near_miss,N/A
800.70,near_miss,N/A
800.80,near_miss,N/A
800.90,near_miss,N/A
801.00,near_miss,N/A
801.10,near_miss,N/A
801.20,near_miss,N/A
801.30,near_miss,N/A
801.40,near_miss,N/A
801.50,near_miss,N/A
801.60,near_miss,N/A
801.70,near_miss,N/A
801.80,near_miss,N/A
801.90,near_miss,N/A
802.00,near_miss,N/A
802.10,near_miss,N/A
802.20,near_miss,N/A
802.30,near_miss,N/A
802.40,near_miss,N/A
802.50,near_miss,N/A
802.60,near_miss,N/A
802.70,near_miss,N/A
802.80,near_miss,N/A
802.90,near_miss,N/A
803.00,near_miss,N/A
803.10,near_miss,N/A
803.20,near_miss,N/A
803.30,near_miss,N/A
803.40,near_miss,N/A
803.50,near_miss,N/A
803.60,near_miss,N/A
803.70,near_miss,N/A
803.80,near_miss,N/A
803.90,near_miss,N/A
804.00,near_miss,N/A
804.10,near_miss,N/A
804.20,near_miss,N/A
804.30,near_miss,N/A
804.40,near_miss,N/A
804.50,near_miss,N/A
804.60,near_miss,N/A
804.70,near_miss,N/A
804.80,near_miss,N/A
804.90,near_miss,N/A
805.00,near_miss,N/A
856.40,near_miss,N/A
856.50,near_miss,N/A
856.60,near_miss,N/A
856.70,near_miss,N/A
856.80,near_miss,N/A
856.90,near_miss,N/A
857.00,near_miss,N/A
857.10,near_miss,N/A
857.20,near_miss,N/A
857.30,near_miss,N/A
857.40,near_miss,N/A
857.50,near_miss,N/A
857.60,near_miss,N/A
857.70,near_miss,N/A
857.80,near_miss,N/A
857.90,near_miss,N/A
880.80,near_miss,N/A
880.90,near_miss,N/A
881.00,near_miss,N/A
881.10,near_miss,N/A
881.20,near_miss,N/A
881.30,near_miss,N/A
881.40,near_miss,N/A
881.50,near_miss,N/A
881.60,near_miss,N/A
881.70,near_miss,N/A
881.80,near_miss,N/A
881.90,near_miss,N/A
882.00,near_miss,N/A
882.10,near_miss,N/A
882.20,near_miss,N/A
882.30,near_miss,N/A
882.40,near_miss,N/A
882.50,near_miss,N/A
882.60,near_miss,N/A
882.70,near_miss,N/A
882.80,near_miss,N/A
882.90,near_miss,N/A
883.00,near_miss,N/A
923.80,near_miss,N/A
923.90,near_miss,N/A
924.00,near_miss,N/A
924.10,near_miss,N/A
924.20,near_miss,N/A
924.30,near_miss,N/A
924.40,near_miss,N/A
924.50,near_miss,N/A
924.60,near_miss,N/A
924.70,near_miss,N/A
924.80,near_miss,N/A
924.90,near_miss,N/A
925.00,near_miss,N/A
925.10,near_miss,N/A
925.20,near_miss,N/A
925.30,near_miss,N/A
925.40,near_miss,N/A
925.50,near_miss,N/A
925.60,near_miss,N/A
925.70,near_miss,N/A
925.80,near_miss,N/A
925.90,near_miss,N/A
1002.10,collision,1.0
1002.20,collision,1.0
1002.30,collision,1.0
1002.40,collision,1.0
1002.50,collision,1.0
1002.60,collision,1.0
1002.70,collision,1.0
1002.80,collision,1.0
1002.90,collision,1.0
1003.00,collision,1.0
1003.10,collision,1.0
1003.20,collision,1.0
1003.30,collision,1.0
1003.40,collision,1.0
1003.50,collision,1.0
1003.60,collision,1.0
1003.70,collision,1.0
1003.80,collision,1.0
1003.90,collision,1.0
1004.00,collision,1.0
1004.10,collision,1.0
1004.20,collision,1.0
1010.00,near_miss,N/A
1010.10,near_miss,N/A
1010.20,near_miss,N/A
1010.30,near_miss,N/A
1010.40,near_miss,N/A
1010.50,near_miss,N/A
1010.60,near_miss,N/A
1010.70,collision,1.0
1010.70,near_miss,N/A
1010.80,collision,1.0
1010.80,near_miss,N/A
1010.90,collision,1.0
1010.90,near_miss,N/A
1011.00,collision,1.0
1011.10,collision,1.0
1011.20,collision,1.0
1011.30,collision,1.0
1011.40,collision,1.0
1011.50,collision,1.0
1011.60,collision,1.0
1011.70,collision,1.0
1011.80,collision,1.0
1011.90,collision,1.0
1012.00,collision,1.0
1012.10,collision,1.0
1012.20,collision,1.0
1012.30,collision,1.0
1012.40,collision,1.0
1012.50,collision,1.0
1012.60,collision,1.0
1012.70,collision,1.0
1012.80,collision,1.0
1012.90,collision,1.0
1105.40,near_miss,N/A
1105.50,near_miss,N/A
1105.60,near_miss,N/A
1105.70,near_miss,N/A
1105.80,near_miss,N/A
1105.90,near_miss,N/A
1106.00,near_miss,N/A
1106.10,near_miss,N/A
1106.20,near_miss,N/A
1106.30,near_miss,N/A
1106.40,near_miss,N/A
1106.50,near_miss,N/A
1106.60,near_miss,N/A
1106.70,near_miss,N/A
1106.80,near_miss,N/A
1106.90,near_miss,N/A
1107.00,near_miss,N/A
1107.10,near_miss,N/A
1176.80,near_miss,N/A
1176.90,near_miss,N/A
1177.00,near_miss,N/A
1177.10,near_miss,N/A
1177.20,near_miss,N/A
1177.30,near_miss,N/A
1177.40,near_miss,N/A
1177.50,near_miss,N/A
1177.60,near_miss,N/A
1177.70,near_miss,N/A
1297.60,near_miss,N/A
1297.70,near_miss,N/A
1297.80,near_miss,N/A
1297.90,near_miss,N/A
1298.00,near_miss,N/A
1298.10,near_miss,N/A
1298.20,near_miss,N/A
1298.30,near_miss,N/A
1298.40,near_miss,N/A
1298.50,near_miss,N/A
1298.60,near_miss,N/A
1298.70,near_miss,N/A
1298.80,near_miss,N/A
1298.90,near_miss,N/A
1299.00,near_miss,N/A
1299.10,near_miss,N/A
1299.20,near_miss,N/A
1299.30,near_miss,N/A
1299.40,near_miss,N/A
1299.50,near_miss,N/A
1299.60,near_miss,N/A
1299.70,near_miss,N/A
1299.80,near_miss,N/A
1299.90,near_miss,N/A
1300.00,near_miss,N/A
1300.10,near_miss,N/A
1300.20,near_miss,N/A
1300.30,near_miss,N/A
1300.40,near_miss,N/A
1300.50,near_miss,N/A
1300.60,near_miss,N/A
1300.70,near_miss,N/A
1300.80,near_miss,N/A
1300.90,near_miss,N/A
1301.00,near_miss,N/A
1301.10,near_miss,N/A
1301.20,near_miss,N/A
1301.30,near_miss,N/A
1301.40,near_miss,N/A
1307.50,near_miss,N/A
1453.10,near_miss,N/A
1453.20,near_miss,N/A
1453.30,near_miss,N/A
1453.40,near_miss,N/A
1453.50,near_miss,N/A
1453.60,near_miss,N/A
1453.70,near_miss,N/A
1453.80,near_miss,N/A
1453.90,near_miss,N/A
1454.00,near_miss,N/A
1454.10,near_miss,N/A
1454.20,near_miss,N/A
1454.30,near_miss,N/A
1454.40,near_miss,N/A
1454.50,near_miss,N/A
1454.60,near_miss,N/A
1454.70,near_miss,N/A
1454.80,near_miss,N/A
1454.90,near_miss,N/A
1689.20,near_miss,N/A
1689.30,near_miss,N/A
1689.40,near_miss,N/A
1689.50,near_miss,N/A
1689.60,near_miss,N/A
1689.70,near_miss,N/A
1689.80,near_miss,N/A
1689.90,near_miss,N/A
1690.00,near_miss,N/A
1690.10,near_miss,N/A
1690.20,near_miss,N/A
1690.30,near_miss,N/A
1690.40,near_miss,N/A
1690.50,near_miss,N/A
1728.60,near_miss,N/A
1728.70,near_miss,N/A
1728.80,near_miss,N/A
1728.90,near_miss,N/A
1729.00,near_miss,N/A
1729.10,near_miss,N/A
1729.20,near_miss,N/A
1729.30,near_miss,N/A
1729.40,near_miss,N/A
1729.50,near_miss,N/A
1729.60,near_miss,N/A
1729.70,near_miss,N/A
1729.80,near_miss,N/A
1729.90,near_miss,N/A
1730.00,near_miss,N/A
1730.10,near_miss,N/A
1730.20,near_miss,N/A
1730.30,near_miss,N/A
1730.40,near_miss,N/A
1730.50,near_miss,N/A
1730.60,near_miss,N/A
1730.70,near_miss,N/A
1730.80,near_miss,N/A
1730.90,near_miss,N/A
1731.00,near_miss,N/A
1731.10,near_miss,N/A
1731.20,near_miss,N/A
1731.30,near_miss,N/A
1731.40,near_miss,N/A
1731.50,near_miss,N/A
1731.60,near_miss,N/A
1731.70,near_miss,N/A
1731.80,near_miss,N/A
1731.90,near_miss,N/A
1732.00,near_miss,N/A
1743.00,near_miss,N/A
1743.10,near_miss,N/A
1743.20,near_miss,N/A
1743.30,near_miss,N/A
1743.40,near_miss,N/A
1743.50,near_miss,N/A
1743.60,near_miss,N/A
1743.70,near_miss,N/A
1743.80,near_miss,N/A
1743.90,near_miss,N/A
1744.00,near_miss,N/A
1744.10,near_miss,N/A
1744.20,near_miss,N/A
1744.30,near_miss,N/A
1744.40,near_miss,N/A
1744.50,near_miss,N/A
1744.60,near_miss,N/A
1744.70,near_miss,N/A
1744.80,near_miss,N/A
1744.90,near_miss,N/A
1745.00,near_miss,N/A
1769.00,near_miss,N/A
1769.10,near_miss,N/A
1769.20,near_miss,N/A
1769.30,near_miss,N/A
1769.40,near_miss,N/A
1769.50,near_miss,N/A
1769.60,near_miss,N/A
1769.70,near_miss,N/A
1769.80,near_miss,N/A
1769.90,near_miss,N/A
1867.00,near_miss,N/A
1867.10,near_miss,N/A
1867.20,near_miss,N/A
1867.30,near_miss,N/A
1867.40,near_miss,N/A
1867.50,near_miss,N/A
1867.60,near_miss,N/A
1867.70,near_miss,N/A
1867.80,near_miss,N/A
1867.90,near_miss,N/A
1868.00,near_miss,N/A
1868.10,near_miss,N/A
1868.20,near_miss,N/A
1868.30,near_miss,N/A
1868.40,near_miss,N/A
1868.50,near_miss,N/A
1868.60,near_miss,N/A
1868.70,near_miss,N/A
